Date,Gibe-III,Koysha
2029-01-01,177480368.0,0.0
2029-01-02,177465109.0,330733.0
2029-01-03,177449850.0,660848.0
2029-01-04,177434590.0,990346.0
2029-01-05,177419330.0,1221311.0
2029-01-06,177404074.0,1419868.0
2029-01-07,177388818.0,1618145.0
2029-01-08,177373562.0,1801255.0
2029-01-09,177358306.0,1968590.0
2029-01-10,177343051.0,2135766.0
2029-01-11,177327804.0,2299081.0
2029-01-12,177312557.0,2448792.0
2029-01-13,177297310.0,2598361.0
2029-01-14,177282058.0,2747860.0
2029-01-15,177266805.0,2886442.0
2029-01-16,177251557.0,3024112.0
2029-01-17,177236313.0,3161716.0
2029-01-18,177221070.0,3293722.0
2029-01-19,177205826.0,3422564.0
2029-01-20,177190582.0,3551314.0
2029-01-21,177175338.0,3677701.0
2029-01-22,177160099.0,3799592.0
2029-01-23,177144862.0,3921425.0
2029-01-24,177129621.0,4042966.0
2029-01-25,177114380.0,4159198.0
2029-01-26,177099140.0,4275347.0
2029-01-27,177083899.0,4391412.0
2029-01-28,177068667.0,4504168.0
2029-01-29,177053436.0,4615561.0
2029-01-30,177038204.0,4726874.0
2029-01-31,177022972.0,4836603.0
2029-02-01,177007740.0,4943912.0
2029-02-02,176986898.0,5039164.0
2029-02-03,176966065.0,5134364.0
2029-02-04,176945231.0,5227056.0
2029-02-05,176924398.0,5319144.0
2029-02-06,176903564.0,5411183.0
2029-02-07,176882739.0,5502998.0
2029-02-08,176861914.0,5592312.0
2029-02-09,176841082.0,5681553.0
2029-02-10,176820249.0,5770746.0
2029-02-11,176799426.0,5859188.0
2029-02-12,176778602.0,5945949.0
2029-02-13,176757778.0,6032664.0
2029-02-14,176736955.0,6119331.0
2029-02-15,176716139.0,6204845.0
2029-02-16,176695316.0,6289322.0
2029-02-17,176674494.0,6373754.0
2029-02-18,176653671.0,6458140.0
2029-02-19,176632857.0,6541063.0
2029-02-20,176612043.0,6623461.0
2029-02-21,176591230.0,6705813.0
2029-02-22,176570415.0,6788121.0
2029-02-23,176549602.0,6868729.0
2029-02-24,176528789.0,6949220.0
2029-02-25,176507976.0,7029666.0
2029-02-26,176487164.0,7109814.0
2029-02-27,176466360.0,7188589.0
2029-02-28,176445556.0,7267322.0
2029-03-01,176424750.0,7346032.0
2029-03-02,176381993.0,7409068.0
2029-03-03,176339245.0,7471100.0
2029-03-04,176296506.0,7533070.0
2029-03-05,176253759.0,7594976.0
2029-03-06,176211017.0,7656839.0
2029-03-07,176168284.0,7718148.0
2029-03-08,176125554.0,7778802.0
2029-03-09,176082822.0,7839415.0
2029-03-10,176040099.0,7899965.0
2029-03-11,175997385.0,7960453.0
2029-03-12,175954660.0,8020210.0
2029-03-13,175911943.0,8079590.0
2029-03-14,175869235.0,8138930.0
2029-03-15,175826527.0,8198208.0
2029-03-16,175783821.0,8257446.0
2029-03-17,175741123.0,8315781.0
2029-03-18,175698432.0,8373962.0
2029-03-19,175655735.0,8432104.0
2029-03-20,175613044.0,8490184.0
2029-03-21,175570361.0,8548145.0
2029-03-22,175527674.0,8605252.0
2029-03-23,175484993.0,8662320.0
2029-03-24,175442321.0,8719329.0
2029-03-25,175399651.0,8776298.0
2029-03-26,175356980.0,8832992.0
2029-03-27,175314318.0,8889046.0
2029-03-28,175271661.0,8945040.0
2029-03-29,175228996.0,9000995.0
2029-03-30,175186340.0,9056892.0
2029-03-31,175143693.0,9112431.0
2029-04-01,175101046.0,9167482.0
2029-04-02,175052449.0,9245368.0
2029-04-03,175003870.0,9323156.0
2029-04-04,174955295.0,9400255.0
2029-04-05,174906725.0,9476791.0
2029-04-06,174858172.0,9553231.0
2029-04-07,174809627.0,9629472.0
2029-04-08,174761087.0,9704739.0
2029-04-09,174712560.0,9779894.0
2029-04-10,174664042.0,9854954.0
2029-04-11,174615532.0,9929339.0
2029-04-12,174567036.0,10003282.0
2029-04-13,174518543.0,10077133.0
2029-04-14,174470059.0,10150759.0
2029-04-15,174421593.0,10223543.0
2029-04-16,174373131.0,10296235.0
2029-04-17,174324673.0,10368835.0
2029-04-18,174276234.0,10440811.0
2029-04-19,174227802.0,10512410.0
2029-04-20,174179374.0,10583900.0
2029-04-21,174130961.0,10655196.0
2029-04-22,174082555.0,10725726.0
2029-04-23,174034158.0,10796167.0
2029-04-24,173985775.0,10866518.0
2029-04-25,173937395.0,10936337.0
2029-04-26,173889025.0,11005769.0
2029-04-27,173840672.0,11075112.0
2029-04-28,173792323.0,11144333.0
2029-04-29,173743978.0,11212792.0
2029-04-30,173695652.0,11281163.0
2029-05-01,173647334.0,11349446.0
2029-05-02,173619279.0,11456615.0
2029-05-03,173591234.0,11563292.0
2029-05-04,173563197.0,11669414.0
2029-05-05,173535170.0,11774792.0
2029-05-06,173507149.0,11879862.0
2029-05-07,173479133.0,11983952.0
2029-05-08,173451126.0,12087906.0
2029-05-09,173423132.0,12190913.0
2029-05-10,173395148.0,12293655.0
2029-05-11,173367167.0,12395740.0
