Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11748518240.0,1851552.0
2029-01-03,11747036480.0,3699648.0
2029-01-04,11745554720.0,5544288.0
2029-01-05,11744073392.0,7385904.0
2029-01-06,11742592496.0,9225792.0
2029-01-07,11741111600.0,11063088.0
2029-01-08,11739630704.0,12898656.0
2029-01-09,11738149808.0,14732496.0
2029-01-10,11736668912.0,16564608.0
2029-01-11,11735188880.0,18394992.0
2029-01-12,11733708848.0,20223648.0
2029-01-13,11732228816.0,22050576.0
2029-01-14,11730748784.0,23876640.0
2029-01-15,11729268752.0,25700976.0
2029-01-16,11727789152.0,27523584.0
2029-01-17,11726309984.0,29345328.0
2029-01-18,11724830816.0,31165344.0
2029-01-19,11723351648.0,32984064.0
2029-01-20,11721872480.0,34801488.0
2029-01-21,11720393312.0,36617616.0
2029-01-22,11718914576.0,38432448.0
2029-01-23,11717436272.0,40246416.0
2029-01-24,11715957968.0,42058656.0
2029-01-25,11714479664.0,43870032.0
2029-01-26,11713001360.0,45680112.0
2029-01-27,11711523056.0,47488896.0
2029-01-28,11710045616.0,49296816.0
2029-01-29,11708568176.0,51103440.0
2029-01-30,11707090736.0,52908768.0
2029-01-31,11705613296.0,54713232.0
2029-02-01,11704135856.0,56516400.0
2029-02-02,11702114960.0,58116960.0
2029-02-03,11700094928.0,59716656.0
2029-02-04,11698074896.0,61315488.0
2029-02-05,11696054864.0,62913024.0
2029-02-06,11694034832.0,64509696.0
2029-02-07,11692015664.0,66105504.0
2029-02-08,11689996496.0,67700448.0
2029-02-09,11687977328.0,69294096.0
2029-02-10,11685958160.0,70886880.0
2029-02-11,11683939856.0,72478800.0
2029-02-12,11681921552.0,74069856.0
2029-02-13,11679903248.0,75660048.0
2029-02-14,11677884944.0,77249376.0
2029-02-15,11675867504.0,78837840.0
2029-02-16,11673850064.0,80425440.0
2029-02-17,11671832624.0,82012176.0
2029-02-18,11669815184.0,83598048.0
2029-02-19,11667798608.0,85183056.0
2029-02-20,11665782032.0,86767200.0
2029-02-21,11663765456.0,88350480.0
2029-02-22,11661748880.0,89932896.0
2029-02-23,11659733168.0,91514448.0
2029-02-24,11657717456.0,93095136.0
2029-02-25,11655701744.0,94674960.0
2029-02-26,11653686032.0,96253920.0
2029-02-27,11651671184.0,97832016.0
2029-02-28,11649656336.0,99409248.0
2029-03-01,11647641488.0,100986048.0
2029-03-02,11643502064.0,102253536.0
2029-03-03,11639363504.0,103519728.0
2029-03-04,11635225808.0,104784624.0
2029-03-05,11631088544.0,106048224.0
2029-03-06,11626952144.0,107310960.0
2029-03-07,11622816608.0,108572400.0
2029-03-08,11618681936.0,109832544.0
2029-03-09,11614548128.0,111091824.0
2029-03-10,11610415184.0,112349808.0
2029-03-11,11606283104.0,113606496.0
2029-03-12,11602151456.0,114862320.0
2029-03-13,11598020672.0,116116848.0
2029-03-14,11593890752.0,117370512.0
2029-03-15,11589761696.0,118622880.0
2029-03-16,11585633504.0,119874384.0
2029-03-17,11581506176.0,121124592.0
2029-03-18,11577379712.0,122373504.0
2029-03-19,11573254112.0,123621552.0
2029-03-20,11569128944.0,124868304.0
2029-03-21,11565004640.0,126114192.0
2029-03-22,11560881200.0,127358784.0
2029-03-23,11556758624.0,128602512.0
2029-03-24,11552636912.0,129844944.0
2029-03-25,11548516064.0,131086512.0
2029-03-26,11544396080.0,132326784.0
2029-03-27,11540276960.0,133566192.0
2029-03-28,11536158272.0,134804304.0
2029-03-29,11532040448.0,136041552.0
2029-03-30,11527923488.0,137277504.0
2029-03-31,11523807392.0,138512592.0
2029-04-01,11519692160.0,139746816.0
2029-04-02,11515003664.0,141492960.0
2029-04-03,11510316896.0,143236944.0
2029-04-04,11505631424.0,144978336.0
2029-04-05,11500947248.0,146717136.0
2029-04-06,11496264800.0,148453776.0
2029-04-07,11491584080.0,150188256.0
2029-04-08,11486904656.0,151920144.0
2029-04-09,11482226528.0,153649440.0
2029-04-10,11477550128.0,155376576.0
2029-04-11,11472875456.0,157101552.0
2029-04-12,11468202080.0,158823936.0
2029-04-13,11463530000.0,160544160.0
2029-04-14,11458859648.0,162262224.0
2029-04-15,11454191024.0,163977696.0
2029-04-16,11449523696.0,165691008.0
2029-04-17,11444857664.0,167402160.0
2029-04-18,11440193360.0,169111152.0
2029-04-19,11435530784.0,170817984.0
2029-04-20,11430869504.0,172522224.0
2029-04-21,11426209520.0,174224304.0
2029-04-22,11421551264.0,175924224.0
2029-04-23,11416894736.0,177621984.0
2029-04-24,11412239504.0,179317584.0
2029-04-25,11407585568.0,181011024.0
2029-04-26,11402933360.0,182702304.0
2029-04-27,11398282880.0,184391424.0
2029-04-28,11393633696.0,186078384.0
2029-04-29,11388985808.0,187763184.0
2029-04-30,11384339648.0,189445824.0
2029-05-01,11379695216.0,191126304.0
2029-05-02,11376999104.0,193781376.0
2029-05-03,11374303856.0,196432992.0
2029-05-04,11371609472.0,199081152.0
2029-05-05,11368915952.0,201725856.0
2029-05-06,11366223728.0,204366240.0
2029-05-07,11363532368.0,207003168.0
2029-05-08,11360841872.0,209636640.0
2029-05-09,11358152672.0,212266656.0
2029-05-10,11355464336.0,214893216.0
2029-05-11,11352776864.0,217516320.0
2029-05-12,11350090256.0,220135968.0
2029-05-13,11347404512.0,222752160.0
2029-05-14,11344720064.0,225364032.0
2029-05-15,11342036480.0,227972448.0
2029-05-16,11339353760.0,230577408.0
2029-05-17,11336671904.0,233179776.0
2029-05-18,11333991344.0,235778688.0
2029-05-19,11331311648.0,238374144.0
2029-05-20,11328632816.0,240966144.0
2029-05-21,11325954848.0,243554688.0
2029-05-22,11323277744.0,246139776.0
2029-05-23,11320601936.0,248721408.0
2029-05-24,11317926992.0,251299584.0
2029-05-25,11315252912.0,253874304.0
2029-05-26,11312580128.0,256446432.0
2029-05-27,11309908208.0,259015104.0
2029-05-28,11307237152.0,261580320.0
2029-05-29,11304566960.0,264142080.0
2029-05-30,11301897632.0,266700816.0
2029-05-31,11299229600.0,269256528.0
2029-06-01,11296562432.0,271808784.0
2029-06-02,11303690864.0,278012736.0
2029-06-03,11310817136.0,284210208.0
2029-06-04,11317941248.0,290400768.0
2029-06-05,11325063200.0,296584848.0
2029-06-06,11332182992.0,302762448.0
2029-06-07,11339300624.0,308933568.0
2029-06-08,11346416096.0,315098208.0
2029-06-09,11353528976.0,321256800.0
2029-06-10,11360640128.0,327408912.0
2029-06-11,11367748688.0,333554976.0
2029-06-12,11374855520.0,339694560.0
2029-06-13,11381959760.0,345828096.0
2029-06-14,11389061840.0,351955584.0
2029-06-15,11396161760.0,358077024.0
2029-06-16,11403259520.0,364192416.0
2029-06-17,11410355120.0,370301760.0
2029-06-18,11417448560.0,376405056.0
2029-06-19,11424539840.0,382502736.0
2029-06-20,11431628528.0,388594368.0
2029-06-21,11438715488.0,394679952.0
2029-06-22,11445799856.0,400759920.0
2029-06-23,11452882496.0,406834272.0
2029-06-24,11459962544.0,412902576.0
2029-06-25,11467040864.0,418965264.0
2029-06-26,11474116592.0,425022336.0
2029-06-27,11481190160.0,431073360.0
2029-06-28,11488261568.0,437119200.0
2029-06-29,11495330816.0,443158992.0
2029-06-30,11502397904.0,449193600.0
2029-07-01,11509462832.0,455222160.0
2029-07-02,11551105040.0,474827184.0
2029-07-03,11592736880.0,494417520.0
2029-07-04,11634357920.0,513993168.0
2029-07-05,11675968160.0,533554992.0
2029-07-06,11717568032.0,553102128.0
2029-07-07,11749955936.0,581837040.0
2029-07-08,11749937792.0,642944736.0
2029-07-09,11749962848.0,703967328.0
2029-07-10,11749944704.0,764992080.0
2029-07-11,11749926560.0,825977520.0
2029-07-12,11749951616.0,886880880.0
2029-07-13,11749933472.0,947790288.0
2029-07-14,11749958528.0,1008619776.0
2029-07-15,11749940384.0,1069456176.0
2029-07-16,11749965440.0,1130214384.0
2029-07-17,11749947296.0,1190981232.0
2029-07-18,11749929152.0,1251713520.0
2029-07-19,11749954208.0,1312369344.0
2029-07-20,11749936064.0,1373035536.0
2029-07-21,11749961120.0,1433625696.0
2029-07-22,11749942976.0,1494227088.0
2029-07-23,11749924832.0,1554796944.0
2029-07-24,11749949888.0,1615292496.0
2029-07-25,11749931744.0,1675800144.0
2029-07-26,11749956800.0,1736234352.0
2029-07-27,11749938656.0,1796681520.0
2029-07-28,11749963712.0,1857055680.0
2029-07-29,11749945568.0,1917443664.0
2029-07-30,11749927424.0,1977802704.0
2029-07-31,11749952480.0,2038089600.0
2029-08-01,11749934336.0,2098391616.0
2029-08-02,11749999136.0,2201774832.0
2029-08-03,11749977536.0,2305193472.0
2029-08-04,11749999136.0,2408518800.0
2029-08-05,11749977536.0,2511838512.0
2029-08-06,11749999136.0,2615066208.0
2029-08-07,11749977536.0,2718289152.0
2029-08-08,11749999136.0,2821421808.0
2029-08-09,11749977536.0,2924551008.0
2029-08-10,11749999136.0,3027590352.0
2029-08-11,11749977536.0,3130627536.0
2029-08-12,11749999136.0,3233576592.0
2029-08-13,11749977536.0,3336523920.0
