Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-01-01,73.77,0.0
2029-01-02,73.77,0.0
2029-01-03,73.77,0.0
2029-01-04,73.77,0.0
2029-01-05,73.77,0.0
2029-01-06,73.77,0.0
2029-01-07,73.77,0.0
2029-01-08,73.77,0.0
2029-01-09,73.77,0.0
2029-01-10,73.77,0.0
2029-01-11,73.77,0.0
2029-01-12,73.77,0.0
2029-01-13,73.77,0.0
2029-01-14,73.77,0.0
2029-01-15,73.77,0.0
2029-01-16,73.77,0.0
2029-01-17,73.77,0.0
2029-01-18,73.77,0.0
2029-01-19,73.77,0.0
2029-01-20,73.77,0.0
2029-01-21,73.77,0.0
2029-01-22,73.77,0.0
2029-01-23,73.77,0.0
2029-01-24,73.77,0.0
2029-01-25,73.77,0.0
2029-01-26,73.77,0.0
2029-01-27,73.77,0.0
2029-01-28,73.77,0.0
2029-01-29,73.77,0.0
2029-01-30,73.77,0.0
2029-01-31,73.77,0.0
2029-02-01,31.58,0.0
2029-02-02,31.58,0.0
2029-02-03,31.58,0.0
2029-02-04,31.58,0.0
2029-02-05,31.58,0.0
2029-02-06,31.58,0.0
2029-02-07,31.58,0.0
2029-02-08,31.58,0.0
2029-02-09,31.58,0.0
2029-02-10,31.58,0.0
2029-02-11,31.58,0.0
2029-02-12,31.58,0.0
2029-02-13,31.58,0.0
2029-02-14,31.58,0.0
2029-02-15,31.58,0.0
2029-02-16,31.58,0.0
2029-02-17,31.58,0.0
2029-02-18,31.58,0.0
2029-02-19,31.58,0.0
2029-02-20,31.58,0.0
2029-02-21,31.58,0.0
2029-02-22,31.58,0.0
2029-02-23,31.58,0.0
2029-02-24,31.58,0.0
2029-02-25,31.58,0.0
2029-02-26,31.58,0.0
2029-02-27,31.58,0.0
2029-02-28,31.58,0.0
2029-03-01,0.0,0.0
2029-03-02,0.0,0.0
2029-03-03,0.0,0.0
2029-03-04,0.0,0.0
2029-03-05,0.0,0.0
2029-03-06,0.0,0.0
2029-03-07,0.0,0.0
2029-03-08,0.0,0.0
2029-03-09,0.0,0.0
2029-03-10,0.0,0.0
2029-03-11,0.0,0.0
2029-03-12,0.0,0.0
2029-03-13,0.0,0.0
2029-03-14,0.0,0.0
2029-03-15,0.0,0.0
2029-03-16,0.0,0.0
2029-03-17,0.0,0.0
2029-03-18,0.0,0.0
2029-03-19,0.0,0.0
2029-03-20,0.0,0.0
2029-03-21,0.0,0.0
2029-03-22,0.0,0.0
2029-03-23,0.0,0.0
2029-03-24,0.0,0.0
2029-03-25,0.0,0.0
2029-03-26,0.0,0.0
2029-03-27,0.0,0.0
2029-03-28,0.0,0.0
2029-03-29,0.0,0.0
2029-03-30,0.0,0.0
2029-03-31,0.0,0.0
2029-04-01,0.0,0.0
2029-04-02,0.0,0.0
2029-04-03,0.0,0.0
2029-04-04,0.0,0.0
2029-04-05,0.0,0.0
2029-04-06,0.0,0.0
2029-04-07,0.0,0.0
2029-04-08,0.0,0.0
2029-04-09,0.0,0.0
2029-04-10,0.0,0.0
2029-04-11,0.0,0.0
2029-04-12,0.0,0.0
2029-04-13,0.0,0.0
2029-04-14,0.0,0.0
2029-04-15,0.0,0.0
2029-04-16,0.0,0.0
2029-04-17,0.0,0.0
2029-04-18,0.0,0.0
2029-04-19,0.0,0.0
2029-04-20,0.0,0.0
2029-04-21,0.0,0.0
2029-04-22,0.0,0.0
2029-04-23,0.0,0.0
2029-04-24,0.0,0.0
2029-04-25,0.0,0.0
2029-04-26,0.0,0.0
2029-04-27,0.0,0.0
2029-04-28,0.0,0.0
2029-04-29,0.0,0.0
2029-04-30,0.0,0.0
2029-05-01,0.0,0.0
2029-05-02,0.0,0.0
2029-05-03,0.0,0.0
2029-05-04,0.0,0.0
2029-05-05,0.0,0.0
2029-05-06,0.0,0.0
2029-05-07,0.0,0.0
2029-05-08,0.0,0.0
2029-05-09,0.0,0.0
2029-05-10,0.0,0.0
2029-05-11,0.0,0.0
2029-05-12,0.0,0.0
2029-05-13,0.0,0.0
2029-05-14,0.0,0.0
2029-05-15,0.0,0.0
2029-05-16,0.0,0.0
2029-05-17,0.0,0.0
2029-05-18,0.0,0.0
2029-05-19,0.0,0.0
2029-05-20,0.0,0.0
2029-05-21,0.0,0.0
2029-05-22,0.0,0.0
2029-05-23,0.0,0.0
2029-05-24,0.0,0.0
2029-05-25,0.0,0.0
2029-05-26,0.0,0.0
2029-05-27,0.0,0.0
2029-05-28,0.0,0.0
2029-05-29,0.0,0.0
2029-05-30,0.0,0.0
2029-05-31,0.0,0.0
2029-06-01,0.0,27.68
2029-06-02,0.0,27.68
2029-06-03,0.0,27.68
2029-06-04,0.0,27.68
2029-06-05,0.0,27.68
2029-06-06,0.0,27.68
2029-06-07,0.0,27.68
2029-06-08,0.0,27.68
2029-06-09,0.0,27.68
2029-06-10,0.0,27.68
2029-06-11,0.0,27.68
2029-06-12,0.0,27.68
2029-06-13,0.0,27.68
2029-06-14,0.0,27.68
2029-06-15,0.0,27.68
2029-06-16,0.0,27.68
2029-06-17,0.0,27.68
2029-06-18,0.0,27.68
